epoch,phase,lr,train_loss,val_loss,train_acc,val_acc,val_macro_f1,elapsed_s,best_so_far
1,P2,5e-05,0.8058511446262228,0.8166877031326294,0.696551724137931,0.62,0.6071114235108234,29.34,0.607111
2,P2,4.99267866761618e-05,0.6461669497448822,0.9152444720268249,0.7655172413793103,0.58,0.5694836559135036,4.92,0.607111
3,P2,4.970759808913453e-05,0.6252267823137087,1.2808615398406982,0.8137931034482758,0.54,0.5377043705775836,4.89,0.607111
4,P2,4.9343785609444826e-05,0.66211237927963,0.9749044513702393,0.7655172413793103,0.68,0.6721852415621118,4.77,0.672185
5,P2,4.88375922620099e-05,0.5713364753229865,0.8874968338012695,0.8413793103448276,0.66,0.6546231541110017,4.72,0.672185
6,P2,4.8192138897143064e-05,0.5500568159695329,0.863325366973877,0.8620689655172413,0.7,0.6981002736468108,4.84,0.6981
7,P2,4.741140494947374e-05,0.5045382220169593,0.9606353855133056,0.8517241379310345,0.72,0.7106332133347815,5.69,0.710633
8,P2,4.650020390340969e-05,0.5200423836708069,0.870649380683899,0.8586206896551725,0.74,0.7336460282198084,5.78,0.733646
9,P2,4.546415361640501e-05,0.48044505530390247,0.9929874801635742,0.8896551724137931,0.68,0.6660353530102313,5.51,0.733646
10,P2,4.430964168300074e-05,0.4760400780316057,0.8461271619796753,0.8896551724137931,0.72,0.7053726842373594,5.15,0.733646
11,P2,4.304378605318051e-05,0.39557043807259923,0.991065788269043,0.9379310344827586,0.7,0.6843434338234445,5.08,0.733646
12,P2,4.167439114784187e-05,0.43618442066784563,0.8796565055847168,0.9137931034482759,0.76,0.748005738346969,4.94,0.748006
13,P2,4.0209899741946245e-05,0.4458875526641977,0.8712798452377319,0.9275862068965517,0.76,0.752154327697943,4.73,0.752154
14,P2,3.865934091200379e-05,0.41831874292472315,0.8653736925125122,0.9137931034482759,0.74,0.733458506371098,5.16,0.752154
15,P2,3.703227436881424e-05,0.4038987320044945,0.9384941339492798,0.9310344827586207,0.7,0.6898395716563145,5.14,0.752154
16,P2,3.5338731518670894e-05,0.42283114975896374,0.9146375942230225,0.9241379310344827,0.72,0.7150042620347347,5.19,0.752154
17,P2,3.358915361640501e-05,0.3766947481138953,0.8470274639129639,0.9482758620689655,0.74,0.732791327375755,5.11,0.752154
18,P2,3.1794327391577763e-05,0.3828903241404172,0.7988085460662842,0.9448275862068966,0.74,0.7313131307708666,4.89,0.752154
19,P2,2.996531854470549e-05,0.3682760263311452,0.9519564151763916,0.9586206896551724,0.74,0.7304273498914128,5.06,0.752154
20,P2,2.8113403523536325e-05,0.3422588352499337,0.8868613243103027,0.9586206896551724,0.72,0.7116737785067446,5.11,0.752154
21,P2,2.6250000000000004e-05,0.3322778636011584,0.8966295337677002,0.9793103448275862,0.74,0.7336460282198084,4.84,0.752154
22,P2,2.438659647646369e-05,0.3194144031097149,0.9469955348968506,0.9862068965517241,0.68,0.6681481476162494,4.97,0.752154
23,P2,2.253468145529453e-05,0.3189593896783631,0.8626118230819703,0.9896551724137931,0.76,0.7464646459216929,4.76,0.752154
24,P2,2.0705672608422252e-05,0.3162366696472826,0.9693571567535401,0.9862068965517241,0.7,0.6966966961589818,4.76,0.752154
25,P2,1.8910846383595002e-05,0.31578060429671717,0.9642934322357177,0.9827586206896551,0.72,0.709447414792416,4.79,0.752154
